Категория,Диалог,Заметки,Иллюстрация
Приветствия и знакомства,"👩‍🦰 Anna: Entschuldigung, ist dieser Platz hier am Fenster noch frei?
Извините, это место у окна еще свободно?
🧔🏻‍♂️ Jonas: Hallo! Ja, bitte, nehmen Sie Platz. Ich warte nur auf meinen Kaffee. Ich bin übrigens Jonas.
Привет! Да, пожалуйста, садитесь. Я просто жду свой кофе. Я, кстати, Йонас.
👩‍🦰 Anna: Danke! Ich bin Anna. Schön, Sie kennenzulernen. Kommen Sie oft hierher?
Спасибо! Я Анна. Приятно познакомиться. Вы часто сюда приходите?
🧔🏻‍♂️ Jonas: Ziemlich oft, der Kaffee ist gut. Sind Sie aus Berlin? Ihr Akzent klingt nicht von hier.
Довольно часто, кофе здесь хороший. Вы из Берлина? Ваш акцент звучит не по-здешнему.
👩‍🦰 Anna: Nein, ich komme aus Russland, aus Moskau. Ich lerne gerade Deutsch.
Нет, я из России, из Москвы. Я как раз учу немецкий.
🧔🏻‍♂️ Jonas: Aus Moskau! Toll. Aber Ihr Deutsch ist schon sehr gut! Kompliment!
Из Москвы! Здорово. Но Ваш немецкий уже очень хорош! Комплимент!
👩‍🦰 Anna: Oh, danke schön! Das ist sehr nett.
О, спасибо! Это очень мило.",,1.png
Категория: Покупки и магазины,"👩‍🦰 Anna: Guten Tag! Ich suche diese Jeans bitte in Größe 38. Haben Sie die vielleicht auch in Schwarz?
Добрый день! Я ищу эти джинсы, пожалуйста, в 38-м размере. У вас есть они, может быть, также в черном цвете?
👩‍💼 Verkäuferin (Frau Richter): Guten Tag! Mal sehen... Größe 38 in Schwarz... Einen Moment. Ah, tut mir leid, in Schwarz ist die 38 gerade aus. Wir haben sie aber noch in Dunkelblau.
Добрый день! Посмотрим... Размер 38 в черном... Минутку. Ах, мне жаль, в черном 38-й как раз закончился. Но у нас они еще есть в темно-синем.
👩‍🦰 Anna: Dunkelblau... Okay, das klingt auch gut. Kann ich die mal sehen?
Темно-синий... Ладно, это тоже звучит неплохо. Могу я на них взглянуть?
👩‍💼 Verkäuferin (Frau Richter): Natürlich, hier bitte. Der Schnitt ist derselbe. Der Preis ist 79 Euro. Möchten Sie sie anprobieren?
Конечно, вот, пожалуйста. Покрой тот же самый. Цена 79 евро. Хотите их примерить?
👩‍🦰 Anna: Ja, gerne. Wo sind die Kabinen?
Да, с удовольствием. Где кабинки?
👩‍💼 Verkäuferin (Frau Richter): Gleich hier um die Ecke links. Sagen Sie Bescheid, wenn Sie Hilfe brauchen!
Прямо здесь за углом налево. Дайте знать, если понадобится помощь!",,
Рестораны и кафе,"👩‍🦰 Anna: Mmm, das Essen hier ist wirklich ausgezeichnet! Besonders die Soße war lecker.
Ммм, еда здесь действительно превосходная! Особенно соус был вкусный.
🧑🏻 Freundin (Lena): Ja, finde ich auch! Und der Kellner war super aufmerksam, oder? Er hat sofort neues Wasser gebracht.
Да, я тоже так думаю! И официант был супер внимательный, правда? Он сразу принес новую воду.
👩‍🦰 Anna: Stimmt! Sehr professionell und freundlich. Sollen wir vielleicht noch einen Nachtisch bestellen? Ich habe noch etwas Platz...
Верно! Очень профессионально и дружелюбно. Может, закажем еще десерт? У меня еще есть немного места...
🧑🏻 Freundin (Lena): Gute Idee! Ich könnte jetzt einen Schokoladenkuchen vertragen! Winken wir ihm mal?
Хорошая идея! Я бы сейчас съела шоколадный пирог! Помашем ему?
👩‍🦰 Anna: Ja, machen wir! Herr Ober!
Да, давай! Официант!",,
Путешествия и транспорт,"👩‍🦰 Anna: Entschuldigung, können Sie mir helfen? Ich muss zum Flughafen, aber ich verstehe diesen Fahrplan nicht. Welcher Bus fährt nach Tegel?
Извините, вы можете мне помочь? Мне нужно в аэропорт, но я не понимаю это расписание. Какой автобус едет в Тегель?
👨‍✈️ Service-Mitarbeiter (Herr Klaus): Nach Tegel? Da nehmen Sie am besten den Bus TXL. Sehen Sie, er fährt alle 10 Minuten von Haltestelle 3 da drüben ab.
В Тегель? Туда вам лучше всего сесть на автобус TXL. Видите, он отправляется каждые 10 минут с остановки 3 вон там.
👩‍🦰 Anna: Haltestelle 3... Ah, ich sehe! Und wo kann ich ein Ticket kaufen? Geht das auch im Bus?
Остановка 3... А, вижу! А где я могу купить билет? Это можно сделать и в автобусе?
👨‍✈️ Service-Mitarbeiter (Herr Klaus): Nein, im Bus leider nicht. Aber hier am Automaten neben mir können Sie Tickets kaufen. Brauchen Sie Hilfe dabei?
Нет, в автобусе, к сожалению, нельзя. Но здесь в автомате рядом со мной вы можете купить билеты. Вам нужна помощь с этим?
👩‍🦰 Anna: Nein, danke, das schaffe ich wohl. Vielen Dank für Ihre Auskunft!
Нет, спасибо, с этим я, пожалуй, справлюсь. Большое спасибо за информацию!
👨‍✈️ Service-Mitarbeiter (Herr Klaus): Gern geschehen. Guten Flug!
Пожалуйста. Хорошего полета!",,
Семья и люди,"👩‍🦰 Anna: Dieser Weihnachtsmarkt ist wirklich zauberhaft! All die Lichter und der Geruch von Glühwein...
Эта рождественская ярмарка поистине волшебная! Все эти огни и запах глинтвейна...
🧔🏻‍♂️ Bekannter (Paul): Ja, findest du? Ich mag die Stimmung hier auch sehr. Du siehst übrigens sehr glücklich aus heute Abend, Anna.
Да, ты находишь? Мне тоже очень нравится здешняя атмосфера. Ты, кстати, выглядишь очень счастливой сегодня вечером, Анна.
👩‍🦰 Anna: Wirklich? Danke! Ich bin es auch. Ich liebe Weihnachten und diese gemütliche Atmosphäre. Das erinnert mich an Zuhause.
Правда? Спасибо! Так и есть. Я обожаю Рождество и эту уютную атмосферу. Это напоминает мне о доме.
🧔🏻‍♂️ Bekannter (Paul): Das ist schön. Es ist wichtig, sich wohlzufühlen, besonders wenn man weit weg von Zuhause ist. Sollen wir noch einen Glühwein trinken?
Это хорошо. Важно чувствовать себя комфортно, особенно когда ты далеко от дома. Выпьем еще по глинтвейну?
👩‍🦰 Anna: Oh ja, gerne!
О да, с удовольствием!",,
Дом и быт,"👩‍🦰 Anna: (Am Telefon) Hallo Herr Schmidt? Hier Anna aus dem 3. Stock. Es ist furchtbar, meine Wohnung ist überflutet! Das Wasser kommt von oben!
(По телефону) Алло, герр Шмидт? Это Анна с 4-го этажа. Это ужасно, мою квартиру затопило! Вода течет сверху!
👨‍🔧 Hausmeister (Herr Schmidt): Was? Überflutet? Sind Sie sicher? Haben Sie versucht, den Haupthahn für Ihre Wohnung zuzudrehen?
Что? Затопило? Вы уверены? Вы пробовали перекрыть главный кран в вашей квартире?
👩‍🦰 Anna: Nein, wo ist der denn? Das Wasser steht schon im Flur und im Wohnzimmer! Ich weiß nicht, was ich tun soll!
Нет, а где он? Вода уже стоит в коридоре и в гостиной! Я не знаю, что мне делать!
👨‍🔧 Hausmeister (Herr Schmidt): Okay, okay, keine Panik! Ich komme sofort hoch! Stellen Sie Eimer auf, wenn Sie welche haben, und versuchen Sie, nichts Elektrisches anzufassen! Ich bin in zwei Minuten da!
Ладно, ладно, без паники! Я сейчас же поднимусь! Поставьте ведра, если у вас есть, и старайтесь не трогать ничего электрического! Я буду через две минуты!
👩‍🦰 Anna: Bitte beeilen Sie sich! Danke!
Пожалуйста, поторопитесь! Спасибо!",,
Здоровье и самочувствие,"👩‍🦰 Anna: Guten Tag. Ich glaube, mein Sohn hat Fieber und starke Ohrenschmerzen. Können Sie mir etwas für ihn geben? Er ist sechs Jahre alt.
Добрый день. Кажется, у моего сына температура и сильная боль в ушах. Можете ли вы мне что-нибудь дать для него? Ему шесть лет.
👩‍⚕️ Apothekerin (Frau Ziegler): Guten Tag. Ohrenschmerzen bei Kindern sollte sich eigentlich ein Arzt ansehen. Waren Sie schon beim Kinderarzt?
Добрый день. Боль в ушах у детей вообще-то должен смотреть врач. Вы уже были у педиатра?
👩‍🦰 Anna: Nein, das fing erst heute Nacht an. Ich wollte ihm erstmal etwas gegen die Schmerzen geben. Haben Sie vielleicht einen fiebersenkenden Saft? Ich brauche kein Rezept, oder?
Нет, это началось только сегодня ночью. Я хотела сначала дать ему что-то от боли. У вас есть, может быть, жаропонижающий сироп? Мне не нужен рецепт, верно?
👩‍⚕️ Apothekerin (Frau Ziegler): Für einen normalen Fiebersaft für Kinder brauchen Sie kein Rezept. Dieser hier mit Paracetamol ist gut geeignet. Geben Sie ihm die Dosis entsprechend dem Gewicht, steht auf der Packung. Aber bitte gehen Sie morgen früh trotzdem zum Arzt, ja?
Для обычного жаропонижающего сиропа для детей рецепт не нужен. Вот этот с парацетамолом хорошо подходит. Давайте ему дозу в соответствии с весом, указано на упаковке. Но, пожалуйста, все равно сходите завтра утром к врачу, хорошо?
👩‍🦰 Anna: Ja, mache ich. Vielen Dank für Ihre Hilfe!
Да, сделаю. Большое спасибо за вашу помощь!
👩‍⚕️ Apothekerin (Frau Ziegler): Gerne, gute Besserung für den Kleinen!
Пожалуйста, скорейшего выздоровления малышу!",,
Учёба и работа,"👩‍🦰 Anna: Hi Leute! Ich habe gestern ein interessantes Tool gefunden. Eine KI, die angeblich unsere Meeting-Protokolle automatisch zusammenfassen kann!
Привет, народ! Я вчера нашла интересный инструмент. ИИ, который якобы может автоматически резюмировать протоколы наших встреч!
👨‍💻 Kollege (Max): Automatisch? Wirklich? Fasst die KI auch zusammen, wer den nächsten Kaffee holen muss? Das wäre mal nützlich!
Автоматически? Правда? А ИИ также резюмирует, кто должен принести следующий кофе? Вот это было бы полезно!
👩‍💻 Kollegin (Sabine): (Lacht) Max, immer du! Aber im Ernst, Anna, das klingt spannend! Spart vielleicht wirklich Zeit. Funktioniert das gut?
(Смеется) Макс, вечно ты! Но серьезно, Анна, звучит увлекательно! Возможно, действительно сэкономит время. Это хорошо работает?
👩‍🦰 Anna: Ich habe es kurz getestet, scheint ganz gut. Natürlich muss man es kontrollieren, aber es könnte Routineaufgaben erleichtern. Es kocht leider keinen Kaffee, Max!
Я кратко протестировала, кажется, вполне неплохо. Конечно, нужно контролировать, но это могло бы облегчить рутинные задачи. Кофе он, к сожалению, не варит, Макс!
👨‍💻 Kollege (Max): Schade! Aber okay, lass uns das mal anschauen. Weniger Protokolle schreiben klingt gut!
Жаль! Но ладно, давай посмотрим. Писать меньше протоколов — звучит хорошо!",,
Хобби и повседневная жизнь,"👩‍🦰 Anna: Du, Chris, ich habe mir überlegt, am Wochenende einen Töpferkurs zu machen! Das wollte ich schon immer mal ausprobieren.
Слушай, Крис, я тут подумала пойти на курс по гончарному делу на выходных! Всегда хотела попробовать.
🧑🏻 Freund (Chris): Töpfern? Cool! Das ist ja mal was anderes. Hast du schon einen Kurs gefunden? Braucht man da nicht viel Geduld?
Гончарное дело? Круто! Вот это что-то новенькое. Ты уже нашла курс? Для этого разве не нужно много терпения?
👩‍🦰 Anna: Ja, hab ich! Und Geduld... naja, wir werden sehen! Haha! Ich hoffe, ich mache nicht nur krumme Tassen. Willst du vielleicht mitkommen? Es gibt noch Plätze!
Да, нашла! А терпение... ну, посмотрим! Ха-ха! Надеюсь, я не сделаю только кривые чашки. Хочешь, может, пойти со мной? Места еще есть!
🧑🏻 Freund (Chris): Hmm, ich und Töpfern? Ich weiß nicht... Ich bin da glaube ich total unbegabt! Aber ich könnte dich hinbringen und abholen? Und das Ergebnis bestaunen!
Хмм, я и гончарное дело? Не знаю... Я в этом, кажется, совершенно бездарен! Но я мог бы тебя отвезти и забрать? И полюбоваться результатом!
👩‍🦰 Anna: Okay, das ist auch ein Angebot! Danke, Chris! Ich schicke dir dann ein Foto von meinem Meisterwerk – oder Desaster!
Ладно, это тоже предложение! Спасибо, Крис! Я пришлю тебе тогда фото моего шедевра — или катастрофы!",,
Основные глаголы,"👩‍🦰 Anna: Was machst du heute Abend, Julia? Gehst du vielleicht tanzen?
Что ты делаешь сегодня вечером, Юлия? Идешь, может быть, танцевать?
👩‍💼 Julia: Hallo Anna! Nein, heute Abend bleibe ich zu Hause. Ich muss kochen und dann möchte ich früh schlafen gehen. Ich bin müde.
Привет, Анна! Нет, сегодня вечером я останусь дома. Мне нужно приготовить ужин, а потом я хочу пойти спать пораньше. Я устала.
👩‍🦰 Anna: Ach so. Was kochst du denn? Ich habe heute keine Lust zu kochen. Vielleicht bestelle ich eine Pizza.
Вот как. А что ты готовишь? У меня сегодня нет настроения готовить. Может быть, закажу пиццу.
👩‍💼 Julia: Ich mache nur Nudeln mit Gemüse. Das geht schnell. Pizza bestellen ist auch eine gute Idee! Was machst du dann noch? Liest du?
Я делаю просто макароны с овощами. Это быстро. Заказать пиццу — тоже хорошая идея! А ты что потом делаешь? Читаешь?
👩‍🦰 Anna: Ja, ich lese mein neues Buch weiter. Und vielleicht sehe ich noch einen Film.
Да, я продолжу читать свою новую книгу. И, может быть, посмотрю еще фильм.
👩‍💼 Julia: Klingt nach einem gemütlichen Abend! Viel Spaß dabei!
Звучит как уютный вечер! Приятно провести время!",,
