Title_1,Text_1,Title_2,Text_2,Gramma_chapter,Gramma_info,Особенность,Краткое объяснение,Пример,Alphabet_chapter,Alphabet_info,Буква,Название буквы,Основной звук / Примерное произношение,Примечания,Table_add_text
Hallo zusammen!,"<p>Если вы мечтаете заговорить по-немецки, эта книга — именно то, что вам нужно. Здесь вы найдёте 1000 самых нужных слов, разбитых по жизненным ситуациям и снабжённых:</p>
<ul>
<li>Контекстом и грамматическими пояснениями</li>
<li>Переводами и транскрипцией</li>
<li>Примерами диалогов с иллюстрациями и сценками из жизни</li>
</ul>",Как устроена книга?,"<ul>
<li>10 тематических блоков: от приветствий и семьи до покупок и
работы</li>
<li>В каждом блоке — 50–150 слов, подобранных по частотности и
уместности</li>
<li>Примеры, диалоги и упражнения помогут не просто выучить, а
использовать эти слова</li>
</ul>",Что важно знать о немецком?,"Здесь собраны важные моменты, которые помогут вам на старте изучения немецкого. Немецкий — язык порядка и структуры, но со своей логикой и красотой!",Род существительных (Genus),"У каждого существительного есть грамматический род: мужской (der), женский (die) или средний (das). Его нужно учить вместе со словом! Род в немецком часто не совпадает с русским.","der Tisch (стол, м.р.) <br /> die Lampe (лампа, ж.р.) <br /> das Buch (книга, ср.р.)",Немецкий алфавит,"В немецком алфавите используются стандартные латинские буквы, плюс несколько специальных символов. Алфавит: 26 стандартных букв + 4 специальных: Ä ä, Ö ö, Ü ü, ß (эсцет).",Aa,A (аа),"[а] или [а:] (как русское 'а', долгое или краткое)","Name, Mann","Важные сочетания букв:<br/>
ch: [х] или [хь] (см. выше)<br/>
sch: [ш] (Schule)<br/>
ck: [к] (Jacke)<br/>
ei, ai: [ай] (mein, Mai)<br/>
eu, äu: [ой] (neu, Häuser)<br/>
ie: долгое [и:] (sieben)<br/>
sp, st: [шп], [шт] в начале (Sport, Stadt)<br/>
ng: носовой [н] (как в англ. 'sing') (singen)<br/>
pf: [пф] (Apfel)<br/>
qu: [кв] (Qualität)<br/>
tsch: [ч] (Deutsch)<br/>
tz: [ц] (Katze)"
,,,,,,Артикли (Artikel),"Артикли (der/die/das - определенные, ein/eine - неопределенные) используются почти всегда перед существительными. Они показывают род, число и падеж.",Ein Mann liest das Buch. (Мужчина читает [эту] книгу.),,,Ää,Ä (э),[э] или [э:] (как русское 'э'),"Äpfel, spät",
,,,,,,Падежи (Kasus),"В немецком 4 падежа (Nominativ, Akkusativ, Dativ, Genitiv). Они влияют на артикли, местоимения и окончания прилагательных. На уровне A1 важнее всего Nominativ (кто? что?) и Akkusativ (кого? что? куда?).",Ich sehe den Mann (Akk.). (Я вижу мужчину.)<br />Der Mann (Nom.) ist hier. (Мужчина здесь.),,,Bb,Be (бэ),[б] (в начале/середине); [п] (в конце слова),"Ball, lieb",
,,,,,,Спряжение глаголов (Konjugation),"Глаголы меняют свои окончания в зависимости от того, кто выполняет действие (я, ты, он/она/оно и т.д.). Основная форма глагола обычно заканчивается на -en.","ich lerne (я учу)<br />du lernst (ты учишь) 
<br />er/sie/es lernt (он/она/оно учит) <br />
wir lernen (мы учим) <br />
ihr lernt (вы учите) <br />
sie/Sie lernen (они/Вы учите)",,,Cc,Ce (цэ),"[ц] (перед e, i, ä, ö, ü); [к] (в других случаях, часто в заимствованиях)","Cent, Café",
,,,,,,Порядок слов (Wortstellung),В простом повествовательном предложении глагол обычно стоит на втором месте.,"Ich lerne heute Deutsch. (Я учу сегодня немецкий.) <br />
Heute lerne ich Deutsch. (Сегодня я учу немецкий.)",,,Dd,De (дэ),[д] (в начале/середине); [т] (в конце слова),"danke, und",
,,,,,,"Вежливая форма ""Sie""","При обращении на ""Вы"" к одному или нескольким людям используется местоимение Sie (всегда пишется с большой буквы), а глагол ставится в форму 3-го лица множественного числа (как ""они"").",Sprechen Sie Deutsch? (Вы говорите по-немецки?),,,Ee,E (э),"[э] (краткое), [е:] (долгое, как 'э' смягченное), [ə] (безударное, как в 'этот')","Bett, sehen, bitte",
,,,,,,Отделяемые приставки,"У некоторых глаголов есть приставки, которые ""отделяются"" и уходят в конец предложения при спряжении глагола.",aufstehen (вставать) -> Ich stehe um 7 Uhr auf. (Я встаю в 7 часов.),,,Ff,Ef (эф),[ф],Fisch,
,,,,,,,,,,,Gg,Ge (гэ),[г] (в начале/середине); [к] (в конце слова),"gut, Tag",
,,,,,,,,,,,Hh,Ha (ха),[х] (легкий выдох в начале); не читается после гласной (удлиняет ее),"Haus, gehen",
,,,,,,,,,,,Ii,I (и),[и] или [и:],"ist, Biene (ie=[и:])",
