Слово/фраза,Транскрипция,Перевод,Категория,Частотность,Широкая категория
Arbeit,[ˈaːɐ̯ˌbaɪ̯t],работа,Бизнес / Работа,1000,Учёба и работа
arbeiten,[ˈaʁbaɪ̯tən],работать,Бизнес / Работа,1000,Учёба и работа
Badezimmer,[ˈbaːdəˌtsɪmɐ],ванная комната,Ванная комната,1000,Дом и быт
Toilette,[to̯aˈlɛtə],туалет,Ванная комната,1000,Дом и быт
Wasser,[ˈvasɐ],вода,Ванная комната,1000,Дом и быт
Zahnpasta,[ˈtsaːnˌpastɐ],зубная паста,Ванная комната,1000,Дом и быт
waschen,[ˈvaʃn̩],мыть,Ванная комната,1000,Дом и быт
Bett,[bɛt],кровать,Ванная комната / Спальня / Гостиная,1000,Дом и быт
bitte,[ˈbɪ.tə],пожалуйста,Вежливость / Этикет,1000,Приветствия и знакомства
hallo,[haˈloː],здравствуйте / привет,Вежливость / Этикет,1000,Приветствия и знакомства
Geschmack,[ɡəˈʃmak],вкус,Вкус (Ощущения),1000,Дом и быт
Haar,[haːɐ̯],волосы,Внешность (Волосы),1000,Семья и люди
schön,[ʃøːn],красивый,Внешность (Общее),1000,Семья и люди
Ich bin ... Jahre alt.,[ɪç bɪn ... ˈjaːʁə alt],Мне ... лет.,Возраст,1000,Приветствия и знакомства
Wie alt?,[viː alt],сколько лет?,Возраст,1000,Приветствия и знакомства
was,[vas],что,Вопросительные слова,1000,Приветствия и знакомства
Tag,[taːk],день,Время (Другое),1000,Приветствия и знакомства
gestern,[ˈɡɛstɐn],вчера,Время (Другое),1000,Приветствия и знакомства
heute,[ˈhɔʏtə],сегодня,Время (Другое),1000,Приветствия и знакомства
immer,[ˈɪmɐ],всегда,Время (Другое),1000,Приветствия и знакомства
jetzt,[jɛtst],сейчас,Время (Другое),1000,Приветствия и знакомства
morgen,[ˈmɔʁɡn̩],завтра,Время (Другое),1000,Приветствия и знакомства
nie,[niː],никогда,Время (Другое),1000,Приветствия и знакомства
noch,[nɔx],ещё,Время (Другое),1000,Приветствия и знакомства
oft,[ɔft],часто,Время (Другое),1000,Приветствия и знакомства
schon,[ʃoːn],уже,Время (Другое),1000,Приветствия и знакомства
sein,[zaɪn],"быть, находиться",Глаголы (Местоположение),1000,Основные глаголы
lieben,[ˈliːbn̩],любить,Глаголы (Семья),1000,Основные глаголы
spielen,[ˈʃpiːlən],играть,Глаголы (Спорт),1000,Основные глаголы
Sofa,[ˈzoː.fa],диван,Гостиная,1000,Дом и быт
Schokolade,[ʃokoˈlaːdə],шоколад,Десерты,1000,Рестораны и кафе
Montag,[ˈmɔn.taːk],понедельник,Дни недели,1000,Приветствия и знакомства
Haus,[haʊs],дом,Дом,1000,Дом и быт
Hund,[hʊnt],собака,Животные (Домашние/Ферма),1000,Хобби и повседневная жизнь
Katze,[ˈkat͡sə],кошка,Животные (Домашние/Ферма),1000,Хобби и повседневная жизнь
Wald,[valt],лес,Животные (Лесные),1000,Хобби и повседневная жизнь
Meer,[meːɐ̯],море,Животные (Морские),1000,Хобби и повседневная жизнь
hören,[ˈhøːʁən],слышать,Звук,1000,Дом и быт
Gesundheit,[ɡəˈzʊnt.haɪ̯t],здоровье,Здоровье,1000,Здоровье и самочувствие
Verletzung,[fɛɐ̯ˈlɛt͡sʊŋ],травма,Здоровье (Травмы),1000,Здоровье и самочувствие
malen,[ˈmaːlən],"рисовать, красить",Искусство и ремесла,1000,Хобби и повседневная жизнь
Wie geht's?,[viː ˈɡeːts],Как дела?,Как дела?,1000,Приветствия и знакомства
ich,[ɪç],я,Местоимения,1000,Приветствия и знакомства
hier,[hiːɐ̯],здесь,Местоположение (Здесь и там),1000,Путешествия и транспорт
Januar,[ˈjaːnu̯aɐ̯],январь,Месяцы года,1000,Приветствия и знакомства
Norden,[ˈnɔʁdn̩],север,Направления (стороны света),1000,Путешествия и транспорт
Geruch,[ɡəˈʁʊx],запах,Обоняние,1000,Дом и быт
Kleidung,[ˈklaɪ̯dʊŋ],одежда,Одежда,1000,Покупки и магазины
ja,[jaː],да,Основы,1000,Приветствия и знакомства
fühlen,[ˈfyːlən],чувствовать (осязать),Осязание,1000,Дом и быт
Herzlichen Glückwunsch,[ˈhɛʁt͡slɪçən ˈɡlʏkˌvʊnʃ],Поздравляю,Поздравления / Праздники,1000,Приветствия и знакомства
Wie viel kostet das?,[viː fiːl ˈkɔstət das],Сколько это стоит?,Покупки,1000,Покупки и магазины
kaufen,[ˈkaʊ̯fn̩],покупать,Покупки,1000,Покупки и магазины
Supermarkt,[ˈzuːpɐˌmaʁkt],супермаркет,Покупки (Места),1000,Покупки и магазины
in,[ɪn],"в, внутри",Предлоги места,1000,Путешествия и транспорт
und,[ʊnt],и,Представление себя,1000,Приветствия и знакомства
Beruf,[bəˈʁuːf],профессия,Профессии,1000,Учёба и работа
Ich bin ...,[ɪç bɪn],Я ... (по профессии),Профессии,1000,Учёба и работа
Reise,[ˈʁaɪ̯zə],путешествие,Путешествия,1000,Путешествия и транспорт
auch,[aʊ̯x],"тоже, также",Связующие слова (Добавление),1000,Путешествия и транспорт
aber,[ˈaːbɐ],но,Связующие слова (Сравнение/Контраст),1000,Путешествия и транспорт
Familie,[faˈmiːli̯ə],семья,Семья (Ближайшие родственники),1000,Семья и люди
Mutter,[ˈmʊtɐ],мать,Семья (Ближайшие родственники),1000,Семья и люди
Vater,[ˈfaːtɐ],отец,Семья (Ближайшие родственники),1000,Семья и люди
Sport,[ʃpɔʁt],спорт,Спорт,1000,Хобби и повседневная жизнь
Sport machen,[ʃpɔʁt ˈmaxən],заниматься спортом,Спорт,1000,Хобби и повседневная жизнь
Gabel,[ˈɡaːbl̩],вилка,Столовые приборы,1000,Рестораны и кафе
Löffel,[ˈlœfl̩],ложка,Столовые приборы,1000,Рестораны и кафе
Messer,[ˈmɛsɐ],нож,Столовые приборы,1000,Рестораны и кафе
Auto,[ˈaʊ̯to],автомобиль,Транспорт,1000,Путешествия и транспорт
Körper,[ˈkœʁpɐ],тело,Части тела,1000,Здоровье и самочувствие
null,[nʊl],ноль,Числа,1000,Покупки и магазины
Klasse,[ˈklasə],класс (группа учеников),Школа (В классе),1000,Учёба и работа
lernen,[ˈlɛrnən],"учить, изучать",Школа (Учебная деятельность),1000,Учёба и работа
Zahnbürste,[ˈtsaːnˌbʏʁstə],зубная щётка,Ванная комната,990,Дом и быт
wie,[viː],как,Вопросительные слова,990,Приветствия и знакомства
laufen,[ˈlaʊ̯fən],бегать,Глаголы (Спорт),990,Основные глаголы
haben,[ˈhaːbn̩],иметь,Глаголы действия,990,Основные глаголы
Kuchen,[ˈkuːxn̩],"пирог, торт",Десерты,990,Рестораны и кафе
Dienstag,[ˈdiːns.taːk],вторник,Дни недели,990,Приветствия и знакомства
Maus,[maʊs],мышь,Животные (Лесные),990,Хобби и повседневная жизнь
du,[duː],ты,Местоимения,990,Приветствия и знакомства
Süden,[ˈzyːdn̩],юг,Направления (стороны света),990,Путешествия и транспорт
nein,[naɪn],нет,Основы,990,Приветствия и знакомства
bin,[bɪn],есть (форма глагола sein – быть),Представление себя,990,Приветствия и знакомства
Job,[d͡ʒɔp],работа (должность),Профессии,990,Учёба и работа
Lehrer,[ˈleːʁɐ],учитель,Профессии,990,Учёба и работа
weiß,[vaɪs],белый,Цвета,990,Дом и быт
